Year	Region	Vocation	Vehicle	Fuel	Pollutant	 Emission [g]
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	HC	12483.032179605701
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	NOx	13327.913060873772
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM	5283.780024717518
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM10	11614.901942212904
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM25	8752.097569812779
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	ROG	11933.109794139289
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	TOG	141998.88406156504
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CH4	314018.62471539545
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO	1159661.1049944728
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO2	2.9630420053813535e8
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	HC	321121.2823000422
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	NOx	112867.73681740781
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM	7978.151176379382
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM10	7878.232102811807
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM25	3000.468099355676
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	ROG	4486.706864691644
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	TOG	320479.0405567592
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	CH4	10382.283779175037
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	CO	1023435.9717393678
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	CO2	6.826974436036854e8
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	HC	197641.5739057817
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	NOx	385351.8056807743
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM	70864.19341903212
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM10	69555.0209723345
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM25	28755.18101363323
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	ROG	197882.1568232058
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	TOG	210236.68293322908
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	CH4	42988.29386311565
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	CO	4500948.23083383
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	CO2	5.476315178915457e9
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	HC	730828.0326445828
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	NOx	2670011.3875289513
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM	1017385.6224483976
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM10	1001508.9027564245
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM25	490123.6961507458
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	ROG	925512.757965047
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	TOG	1053634.764079828
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CH4	2.733591464089697
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO	156.41881388416374
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO2	586257.5006637031
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	HC	46.47304090686353
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	NOx	2113.6855973669713
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM	75.64008794787237
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM10	74.35645118341627
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM25	35.29541328722439
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	ROG	58.85347152419719
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	TOG	67.00019008984923
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	CH4	1515.739104409725
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	CO	149414.32503862723
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	CO2	9.966893929698405e7
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	HC	28854.25486317055
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	NOx	56258.60487427926
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM	10345.664918457474
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM10	10154.535113678337
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM25	4198.050568042478
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	ROG	28889.378246767916
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	TOG	30693.050612088413
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CH4	35290.34019636264
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO	374305.1895292715
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO2	1.9871678278169505e7
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	HC	1477.266947369762
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	NOx	1577.2518374512824
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM	625.2930758634258
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM10	1374.5306820729475
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM25	1035.7406977739624
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	ROG	1412.1880344918875
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	TOG	16804.43140491583
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	CH4	37161.590908052596
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO	137236.61013687638
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO2	3.506523058852158e7
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	HC	38002.13358528978
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	NOx	13356.993287031035
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM	944.150336585668
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM10	932.3257139563726
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM25	355.0813845579239
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	ROG	530.9658469498025
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	TOG	37926.12941531551
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	CH4	576.6396557384589
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	CO	56842.38448556809
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	CO2	3.791751672621259e7
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	HC	10977.1579703144
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	NOx	21402.721914774294
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	PM	3935.8492761773828
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	PM10	3863.136878305903
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	PM25	1597.0838433117913
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	ROG	10990.520121998043
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	TOG	11676.699563286798
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	CH4	1222.0246530150257
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	CO	127948.08087842228
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	CO2	1.5567475596087894e8
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	HC	20775.187678998107
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	NOx	75900.19156798319
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	PM	28921.13644272159
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	PM10	28469.81025298306
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	PM25	13932.705532120588
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	ROG	26309.474167887918
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	TOG	29951.587775944863
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CH4	157.03003936054938
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO	9255.344090023638
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO2	3.565367440078494e7
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	HC	2669.624764999405
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	NOx	122503.71813549795
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM	4555.322004578006
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM10	4477.634430508493
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM25	2108.7387827835355
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	ROG	3380.8136279008054
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	TOG	3848.7984264062297
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	CH4	24016.08353766277
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	CO	2351490.196869096
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	CO2	1.5761613971644213e9
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	HC	453766.92290900135
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	NOx	885612.151547495
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM	162911.5295323243
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM10	159890.41826556931
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM25	66160.33201923699
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	ROG	454133.8551762316
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	TOG	482700.1111888634
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CH4	275438.7921682372
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO	3010534.6234180625
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO2	2.2683093562678045e8
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	HC	293908.95177365467
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	NOx	27584.021280398192
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM	5864.909677691956
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM10	14126.755294834998
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM25	7467.708302439067
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	ROG	10558.634601276528
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	TOG	235366.14168693867
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CH4	439759.3021210014
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO	1623625.6907455039
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO2	4.150933458708156e8
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	HC	449706.0371922691
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	NOx	137117.0117251358
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM	11198.107596143534
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM10	11057.861160269156
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM25	4211.452166316175
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	ROG	6283.292843269917
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	TOG	448806.62508030783
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	CH4	16637.70220893815
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	CO	1630264.3770113145
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	CO2	1.0921548263650131e9
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	HC	314618.38349532057
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	NOx	613969.6927509243
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM	112937.92274476608
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM10	110844.42440549255
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM25	45861.2751910113
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	ROG	314887.06665169296
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	TOG	334677.9219940752
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	CH4	62700.55396720434
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	CO	6572716.952951098
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	CO2	8.021527778161302e9
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	HC	1065948.7764180824
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	NOx	3910821.881263814
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM	1491486.1239505103
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM10	1468211.0097193778
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM25	718527.1421225064
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	ROG	1349906.0744099575
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	TOG	1536778.3457450457
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CH4	13.46876768938527
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO	1121.304187015368
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO2	5455627.405029137
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	HC	228.9788489745768
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	NOx	11822.294559768905
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM	645.7254279979995
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM10	634.2707124829412
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM25	279.38552255861936
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	ROG	289.9790141176248
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	TOG	330.1188408235452
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	CH4	103056.39128400847
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	CO	1.001345574676417e7
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	CO2	6.748785133917504e9
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	HC	1930622.1216121328
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	NOx	3772273.951804905
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM	694177.4535721837
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM10	681248.5513756084
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM25	282178.81470918073
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	ROG	1931277.2078718685
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	TOG	2053800.936929708
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CH4	214757.9315808104
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO	3007567.798918845
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO2	7.083967847480483e8
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	HC	2321550.7225318165
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	NOx	134683.04111790404
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM	11868.134753519222
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM10	36197.978220107485
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM25	1256.7124270704896
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	ROG	4798.765051183703
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	TOG	955686.1957766685
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	CH4	1452250.2679823488
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO	5359906.316460406
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO2	1.3714867975687487e9
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	HC	1485098.1254955588
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	NOx	350446.20914872433
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM	37104.05428334549
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM10	36639.35701071153
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM25	13954.34047143695
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	ROG	20749.789649046885
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	TOG	1482127.9233156226
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	CH4	31169.453450974994
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	CO	3028794.567058148
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	CO2	2.0412153068801167e9
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	HC	583964.8340965082
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	NOx	1141006.0021400875
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	PM	209968.28259431737
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	PM10	206057.82985188463
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	PM25	85350.03807878036
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	ROG	584165.5908791475
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	TOG	621223.1155769868
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	CH4	48020.21885931328
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	CO	5044377.609700755
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	CO2	6.189145225569071e9
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	HC	816373.7625280718
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	NOx	3017295.2796386667
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	PM	1152456.7472805118
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	PM10	1134472.4786196034
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	PM25	555207.4244693373
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	ROG	1033846.9750656722
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	TOG	1176966.0631668943
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CH4	155.29964979859182
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO	9234.048346578604
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO2	3.55814525985796e7
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	HC	2640.2068865180017
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	NOx	122684.95822508373
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM	4534.639737498704
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM10	4457.241570558324
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM25	2096.3689502848715
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	ROG	3343.558798966836
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	TOG	3806.3866582925207
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	CH4	81084.65873147373
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	CO	7962719.236699218
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	CO2	5.353650286597275e9
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	HC	1507525.1384269993
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	NOx	3000303.5630158633
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM	556667.9800646384
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM10	546225.1057673893
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM25	226638.90737294432
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	ROG	1507071.4458204934
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	TOG	1603516.4681354002
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CH4	3709452.3115842636
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO	6764243.989925915
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO2	1.0073914432932425e9
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	HC	1433920.4994088428
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	NOx	622901.553338382
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM	11374.086131335682
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM10	18789.06378651322
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	PM25	23921.03138169227
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	ROG	40365.908390809745
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	TOG	2357020.734984452
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CH4	956714.6907011906
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO	3531129.4847981343
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	CO2	9.033216294547527e8
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	HC	978354.2256273931
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	NOx	233776.89053529274
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM	24435.49304450053
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM10	24129.46014307365
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	PM25	9189.846730624187
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	ROG	13669.56722439391
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	TOG	976397.5169757009
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	CH4	45454.79974222988
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	CO	4463253.746977748
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	CO2	2.9991806453539286e9
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	HC	847007.2658071921
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	NOx	1681615.8542125674
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM	311673.7391259219
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM10	305835.76593216293
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	PM25	126850.8891866436
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	ROG	846881.8162745773
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	TOG	900948.3665327558
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	CH4	128498.23164214549
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	CO	1.3472304069216255e7
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	CO2	1.6435900079924225e10
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	HC	2184550.7960499525
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	NOx	8020827.8829348385
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM	3056407.333739658
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM10	3008713.5512111676
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	PM25	1472547.2916084377
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	ROG	2766491.695175873
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	TOG	3149466.889963224
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CH4	13.0101040942278
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO	1095.3071077061347
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO2	5276598.19125163
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	HC	221.18123414289738
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	NOx	11837.185704370595
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM	623.0528254499025
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM10	611.9973245603384
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM25	269.44412252089813
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	ROG	280.1040973318785
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	TOG	318.8770158402242
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	CH4	207397.87391243968
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	CO	2.0287654405366607e7
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	CO2	1.3662811966183483e10
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	HC	3855543.322122889
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	NOx	7644371.358192007
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM	1415905.3679547186
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM10	1389361.455988788
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	PM25	576379.1570253515
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	ROG	3854547.349970672
