Material	Technology	Year	Capacity [kg/yr]	Consumption [unit/kg]
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2005	1278.0	0.687576565745632
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2005	682897.0	0.687576565745632
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2025	6828970.0	0.734724599686958
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2005	6828970.0	0.687576565745632
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2025	341448.0	0.734724599686958
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2025	1707240.0	0.734724599686958
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2025	170724.0	0.734724599686958
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2005	1707240.0	0.687576565745632
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2005	341448.0	0.687576565745632
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2005	68289.7	0.687576565745632
Biogas (Estimate) [GJ]	Large Biogas + Onsite Natural Gas Reforming	2005	170724.0	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	1278.0	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	682897.0	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	3414480.0	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	68289.7	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	3414480.0	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	1278.0	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	682897.0	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	6828970.0	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	6828970.0	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	341448.0	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	1707240.0	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2025	170724.0	0.734724599686958
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	1707240.0	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	341448.0	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	68289.7	0.687576565745632
Biogas (Estimate) [GJ]	Medium Biogas + Onsite Natural Gas Reforming	2005	170724.0	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	1278.0	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	682897.0	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	3414480.0	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	68289.7	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	3414480.0	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	1278.0	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	682897.0	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	6828970.0	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	6828970.0	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	341448.0	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	1707240.0	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2025	170724.0	0.734724599686958
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	1707240.0	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	341448.0	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	68289.7	0.687576565745632
Biogas (Estimate) [GJ]	Small Biogas + Onsite Natural Gas Reforming	2005	170724.0	0.687576565745632
